;time;windvelocity;precipitation;temperature
0;1962-05-01;-999;   0.0;    5.4
1;1962-05-02;-999;   0.4;    6.2
2;1962-05-03;-999;   0.1;    6.0
3;1962-05-04;-999;   0.0;    8.6
4;1962-05-05;-999;   0.0;    8.4
5;1962-05-06;-999;   5.6;   13.2
6;1962-05-07;-999;   0.0;   14.6
7;1962-05-08;-999;   1.2;   12.5
8;1962-05-09;-999;  30.7;   14.2
9;1962-05-10;-999;   2.5;    9.1
10;1962-05-11;-999;   7.5;    8.8
11;1962-05-12;-999;   6.0;    9.4
12;1962-05-13;-999;   1.4;    8.9
13;1962-05-14;-999;   0.4;    8.1
14;1962-05-15;-999;   0.5;    8.6
15;1962-05-16;-999;   2.4;    9.5
16;1962-05-17;-999;   4.2;    8.6
17;1962-05-18;-999;   0.1;    9.3
18;1962-05-19;-999;   2.8;   11.9
19;1962-05-20;-999;   1.7;    9.5
20;1962-05-21;-999;   0.1;   13.3
21;1962-05-22;-999;   3.4;   11.3
22;1962-05-23;-999;   0.4;   10.5
23;1962-05-24;-999;   0.4;    9.6
24;1962-05-25;-999;   1.8;    8.9
25;1962-05-26;-999;   4.1;   10.9
26;1962-05-27;-999;   0.0;   11.4
27;1962-05-28;-999;   2.2;   11.6
28;1962-05-29;-999;   4.6;   10.6
29;1962-05-30;-999;   0.2;    8.1
30;1962-05-31;-999;   2.0;    7.1
31;1962-06-01;-999;   0.3;    8.5
32;1962-06-02;-999;   2.1;    8.2
33;1962-06-03;-999;   0.0;    9.1
34;1962-06-04;-999;   0.0;    9.6
35;1962-06-05;-999;   0.0;   12.4
36;1962-06-06;-999;   0.1;   12.3
37;1962-06-07;-999;   0.0;   16.0
38;1962-06-08;-999;   0.0;   14.4
39;1962-06-09;-999;   0.0;   12.5
40;1962-06-10;-999;   0.4;   15.0
41;1962-06-11;-999;   0.0;   10.1
42;1962-06-12;-999;   0.0;   11.7
43;1962-06-13;-999;   0.0;   16.9
44;1962-06-14;-999;   0.0;   21.2
45;1962-06-15;-999;   0.0;   21.2
46;1962-06-16;-999;   0.0;   18.4
47;1962-06-17;-999;   0.0;   14.9
48;1962-06-18;-999;   0.0;   20.2
49;1962-06-19;-999;  23.3;   16.1
50;1962-06-20;-999;   0.1;   16.1
51;1962-06-21;-999;   0.0;   19.0
52;1962-06-22;-999;   0.2;   17.6
53;1962-06-23;-999;   0.0;   16.8
54;1962-06-24;-999;   0.0;   15.2
55;1962-06-25;-999;   0.0;   12.4
56;1962-06-26;-999;   5.4;   11.0
57;1962-06-27;-999;   4.1;   10.2
58;1962-06-28;-999;   7.1;   10.4
59;1962-06-29;-999;   0.0;   11.0
60;1962-06-30;-999;   0.7;   11.1
61;1962-07-01;-999;   0.3;   12.5
62;1962-07-02;-999;   4.7;   10.7
